id;escola;coordenadoria_id;turno;escola_id;serie;turno_id
362;EE Rodrigo Costa;28;Matutino;140;;
363;EE Costa E Silva;28;Vespertino;140;;
364;EE Wilson Garcia Bastos;28;Noturno;140;;
365;EE Indigena Prof. Luiz Gonzaga de Souza Filho;28;Matutino;141;;
366;CETI José de Araújo Rodrigues;28;Vespertino;141;;
367;EE Presidente Eurico Gaspar Dutra;29;Noturno;141;;
368;EE Francisca Mendes;29;Integral;142;;
369;EE Nossa Senhora de Fatima;29;Matutino;143;;
370;EE Dom Bosco;29;Vespertino;143;;
371;EE Joao Conrado;29;Noturno;143;;
372;EE Nossa Senhora Das Dores;29;Matutino;144;;
373;EE Conrado Pinto Gomes;29;Vespertino;144;;
374;CETI Prof. Neuza Alves Barroso;29;Noturno;144;;
375;EE Armando Mendes;30;Matutino;145;;
376;EETI Benedita Barbosa de Souza;30;Vespertino;145;;
377;EE Presidente Castello Branco;30;Noturno;145;;
378;EE Prof. Chagas Mattos;30;Matutino;146;;
379;EE Armando Mendes;31;Vespertino;146;;
380;EE N. S. Guadalupe;31;Noturno;146;;
381;EE Sao Jose;31;Matutino;147;;
382;EE Waldemarina Ferreira;31;Vespertino;147;;
383;EE Zulmira Lima Lins;31;Noturno;147;;
384;CETI Professora Naide Lins de Albuquerque;31;Matutino;148;;
385;EE Jose Carlos Martins de Medeiros Raposo;32;Vespertino;148;;
386;EE Prof. Jose Elno Ferreira de Souza;32;Noturno;148;;
387;EE Profa. Candida Souto;33;Matutino;149;;
388;EE Alvaro Maia;33;Vespertino;149;;
389;EE Duque de Caxias;33;Noturno;149;;
390;EE Oswaldo Cruz;33;Matutino;150;;
391;EE Patronato Maria Auxiliadora;33;Vespertino;150;;
392;EE Governador Plinio Ramos Coelho;33;Noturno;150;;
393;EE Indigena Kwatijariga;33;Matutino;151;;
394;EE Indigena Tupajakui;33;Vespertino;151;;
395;CETI Tarcila Prado de Negreiros Mendes;33;Noturno;151;;
396;EE Pres Castello Branco;34;Matutino;152;;
397;EE Armando de Souza Mendes;34;Vespertino;152;;
398;EE Ipixuna;34;Noturno;152;;
399;EE Isaias Vasconcelos;35;Matutino;153;;
400;EE Senador Joao Bosco Ramos de Lima;35;Vespertino;153;;
401;EE Cecilia Carneiro de Oliveira;35;Noturno;154;;
402;EE Thomas Eugene Lovejoy;35;Matutino;155;;
403;CETI Maria Izabel Ferreira Xavier Desterro E Silva;35;Vespertino;155;;
404;EE Elias Novoa Alvarez;35;Noturno;155;;
405;Anexo da EE Elias Novoa;35;Matutino;156;;
406;Anexo da EE Elias Novoa;35;Vespertino;156;;
407;EE Coronel Cruz;36;Noturno;156;;
408;EE Deputado Vital de Mendonca;36;Matutino;157;;
409;EE Prof. Fernando Ellis Ribeiro;36;Vespertino;157;;
410;EE Jose Carlos Martins Mestrinho;36;Noturno;157;;
411;EE Capitao-General Mendonca Furtado;36;Matutino;158;;
412;EE Profa. Luiza de Vasconcelos Dias;36;Vespertino;158;;
413;EE Senador Joao Bosco Ramos de Lima;36;Noturno;158;;
414;EE Sergio Mendonca de Aquino;36;Matutino;159;;
415;EE Anilia Nogueira da Silva;36;Vespertino;159;;
416;EE Maria Ivone de Araujo Leite;36;Noturno;159;;
417;EE Profa. Mirtes Rosa Mendes de Mendonca Lima;36;Integral;160;;
418;EE Dep Joao Valerio de Oliveira;36;Matutino;161;;
419;EE Prof. Vicente Geraldo de Mendonca Lima;36;Vespertino;161;;
420;EE Prof. Ronaldo Marques da Silva;36;Noturno;161;;
421;EE Profa. Berezith Nascimento da Silva;36;Matutino;162;;
422;CETI Dom Jorge Edward Marskell;36;Vespertino;162;;
423;EE Santos Dumont;37;Noturno;162;;
424;EETI Francidene Soares Barroso;37;Matutino;163;;
425;EE Quito Tatikawa;38;Vespertino;163;;
426;EETI Tereza dos Santos;38;Noturno;163;;
427;EE Prof. Mileto Batista;38;Matutino;164;;
428;EE Yamamay;38;Vespertino;164;;
429;EE Castelo Branco;39;Noturno;164;;
430;EE Raimundo Roberto;39;Integral;165;;
431;EE Duque de Caxias;39;Matutino;166;;
432;EE Dorothea de Souza Braga;39;Vespertino;166;;
433;EE Armando Berredo;40;Noturno;166;;
434;EE Prof. Romerito da Silva Brito;40;Matutino;167;;
435;EE Profa. Altina Gomes de Oliveira;40;Vespertino;167;;
436;EE Pe Joao Van Den;41;Noturno;167;;
437;EE Sao Francisco;41;Matutino;168;;
438;EE Irma Bruna;41;Vespertino;168;;
439;EE Indigena Joaquim Romao;41;Noturno;168;;
440;EETI Profª Balbina Mestrinho;42;Matutino;169;;
441;Educandario Santa Rita;42;Vespertino;169;;
442;EE Santo Agostinho;42;Noturno;169;;
443;EE Thome de Medeiros Raposo;42;Matutino;170;;
444;CETI Agostinho Ernesto de Almeida;42;Vespertino;170;;
445;EE Carlos Pinho;43;Noturno;170;;
446;EE Castello Branco;43;Matutino;171;;
447;EE Eurico Gaspar Dutra;43;Vespertino;171;;
448;EE Januario Santana;43;Noturno;171;;
449;EE Joaquim de Souza Coelho;43;Integral;172;;
450;EE Jose Kallil Assaf;43;Matutino;173;;
451;EE Leopoldo Neves;43;Vespertino;173;;
452;EE Magnolia Ventura;43;Noturno;173;;
453;EE Mario Silva Dalmeida;43;Matutino;174;;
454;EE Nossa Senhora de Nazare;43;Vespertino;174;;
455;EE Regina Fernandes;43;Noturno;174;;
456;EE Jose Mota;43;Matutino;175;;
457;EE Agra Reis;43;Vespertino;175;;
458;EE Andre Vidal de Araujo;43;Noturno;175;;
459;EE Virgilia Alexandre Maddy;43;Matutino;176;;
460;EE Jose Seffair;43;Vespertino;176;;
461;EE Jamil Seffair;43;Noturno;176;;
462;EE Nossa Senhora do Rosario;43;Matutino;177;;
463;EE Prof. Gilberto Mestrinho;43;Vespertino;177;;
464;CETI Prefeito Washington Luis Regis Da Silva;43;Noturno;177;;
465;EE Anselmo Jacob;44;Matutino;178;;
466;EE Aristeu Das Neves Bicho;45;Vespertino;178;;
467;EE Didimo Soares;45;Noturno;178;;
468;EE Nª Sª Das Gracas;45;Matutino;179;;
469;EE Hermenegildo de Campos;45;Vespertino;179;;
470;EE Senador Joao Bosco Ramos de Lima;45;Noturno;179;;
471;EE Pedro Aguirre;45;Integral;180;;
472;EE Maria Sa Mota;45;Integral;181;;
473;EE Santo Antonio do Matupy;45;Integral;182;;
474;EE Indigena Gomercindo Caetano de Oliveira;45;Matutino;183;;
475;EE Indigena Sao Jose;45;Vespertino;183;;
